,Feature,Importance
299,ATSC.68,4
300,ATSC.69,4
301,ATSC.70,3
302,ATSC.71,6
303,ATSC.72,0
304,ATSC.73,1
305,ATSC.74,0
306,ATSC.75,4
307,ATSC.76,0
308,ATSC.77,1
309,ATSC.78,4
310,ATSC.79,2
311,ATSC.80,1
312,ATSC.81,0
313,ATSC.82,0
314,ATSC.83,1
315,ATSC.84,9
316,ATSC.85,2
317,ATSC.86,2
318,ATSC.87,12
319,ATSC.88,3
320,ATSC.89,3
321,ATSC.90,2
322,ATSC.91,1
323,ATSC.92,1
324,ATSC.93,5
325,ATSC.94,2
326,ATSC.95,5
327,ATSC.96,3
328,ATSC.97,3
329,ATSC.98,0
330,ATSC.99,0
331,ATSC.100,2
332,ATSC.101,11
333,ATSC.102,5
334,ATSC.103,2
335,ATSC.104,1
336,ATSC.105,3
337,ATSC.106,3
338,ATSC.107,1
339,AATSC,22
340,AATSC.1,8
341,AATSC.2,4
342,AATSC.3,3
343,AATSC.4,2
344,AATSC.5,8
345,AATSC.6,5
346,AATSC.7,2
347,AATSC.8,9
348,AATSC.9,2
349,AATSC.10,0
350,AATSC.11,2
351,AATSC.12,3
352,AATSC.13,1
353,AATSC.14,1
354,AATSC.15,1
355,AATSC.16,3
356,AATSC.17,3
357,AATSC.18,3
358,AATSC.19,1
359,AATSC.20,1
360,AATSC.21,0
361,AATSC.22,2
362,AATSC.23,1
363,AATSC.24,11
364,AATSC.25,2
365,AATSC.26,5
366,AATSC.27,6
367,AATSC.28,6
368,AATSC.29,1
369,AATSC.30,2
370,AATSC.31,6
371,AATSC.32,4
372,AATSC.33,3
373,AATSC.34,9
374,AATSC.35,5
375,AATSC.36,2
376,AATSC.37,10
377,AATSC.38,5
378,AATSC.39,0
379,AATSC.40,0
380,AATSC.41,1
381,AATSC.42,1
382,AATSC.43,0
383,AATSC.44,2
384,AATSC.45,0
385,AATSC.46,2
386,AATSC.47,2
387,AATSC.48,3
388,AATSC.49,1
389,AATSC.50,1
390,AATSC.51,0
391,AATSC.52,0
392,AATSC.53,1
393,AATSC.54,2
394,AATSC.55,1
395,AATSC.56,1
396,AATSC.57,0
397,AATSC.58,2
398,AATSC.59,0
399,AATSC.60,3
400,AATSC.61,7
401,AATSC.62,3
402,AATSC.63,3
403,AATSC.64,5
404,AATSC.65,0
405,AATSC.66,2
406,AATSC.67,5
407,AATSC.68,1
408,AATSC.69,7
409,AATSC.70,2
410,AATSC.71,4
411,AATSC.72,0
412,AATSC.73,0
413,AATSC.74,1
414,AATSC.75,3
415,AATSC.76,0
416,AATSC.77,2
417,AATSC.78,9
418,AATSC.79,3
419,AATSC.80,1
420,AATSC.81,5
421,AATSC.82,0
422,AATSC.83,1
423,AATSC.84,5
424,AATSC.85,1
425,AATSC.86,1
426,AATSC.87,3
427,AATSC.88,1
428,AATSC.89,8
429,AATSC.90,2
430,AATSC.91,4
431,AATSC.92,3
432,AATSC.93,3
433,AATSC.94,0
434,AATSC.95,1
435,AATSC.96,1
436,AATSC.97,4
437,AATSC.98,2
438,AATSC.99,1
439,AATSC.100,3
440,AATSC.101,15
441,AATSC.102,7
442,AATSC.103,3
443,AATSC.104,0
444,AATSC.105,1
445,AATSC.106,3
446,AATSC.107,1
447,MATS,1
448,MATS.1,3
449,MATS.2,7
450,MATS.3,1
451,MATS.4,2
452,MATS.5,16
453,MATS.6,12
454,MATS.7,3
455,MATS.8,1
456,MATS.9,2
457,MATS.10,2
458,MATS.11,1
459,MATS.12,1
460,MATS.13,0
461,MATS.14,2
462,MATS.15,4
463,MATS.16,1
464,MATS.17,1
465,MATS.18,0
466,MATS.19,1
467,MATS.20,4
468,MATS.21,3
469,MATS.22,2
470,MATS.23,2
471,MATS.24,2
472,MATS.25,2
473,MATS.26,3
474,MATS.27,10
475,MATS.28,6
476,MATS.29,9
477,MATS.30,1
478,MATS.31,8
479,MATS.32,1
480,MATS.33,1
481,MATS.34,1
482,MATS.35,0
483,MATS.36,0
484,MATS.37,3
485,MATS.38,6
486,MATS.39,9
487,MATS.40,0
488,MATS.41,0
489,MATS.42,0
490,MATS.43,0
491,MATS.44,0
492,MATS.45,2
493,MATS.46,2
494,MATS.47,0
495,MATS.48,0
496,MATS.49,1
497,MATS.50,4
498,MATS.51,0
499,MATS.52,3
500,MATS.53,0
501,MATS.54,0
502,MATS.55,1
503,MATS.56,3
504,MATS.57,4
505,MATS.58,19
506,MATS.59,0
507,MATS.60,1
508,MATS.61,5
509,MATS.62,1
510,MATS.63,2
511,MATS.64,3
512,MATS.65,2
513,MATS.66,3
514,MATS.67,1
515,MATS.68,1
516,MATS.69,1
517,MATS.70,1
518,MATS.71,5
519,MATS.72,4
520,MATS.73,2
521,MATS.74,3
522,MATS.75,2
523,MATS.76,0
524,MATS.77,1
525,MATS.78,0
526,MATS.79,3
527,MATS.80,4
528,MATS.81,1
529,MATS.82,0
530,MATS.83,1
531,MATS.84,1
532,MATS.85,0
533,MATS.86,1
534,MATS.87,2
535,MATS.88,0
536,MATS.89,7
537,MATS.90,2
538,MATS.91,0
539,MATS.92,4
540,MATS.93,1
541,MATS.94,6
542,MATS.95,0
543,GATS,7
544,GATS.1,4
545,GATS.2,15
546,GATS.3,18
547,GATS.4,19
548,GATS.5,12
549,GATS.6,16
550,GATS.7,10
551,GATS.8,1
552,GATS.9,2
553,GATS.10,2
554,GATS.11,2
555,GATS.12,1
556,GATS.13,5
557,GATS.14,5
558,GATS.15,5
559,GATS.16,2
560,GATS.17,17
561,GATS.18,2
562,GATS.19,14
563,GATS.20,12
564,GATS.21,7
565,GATS.22,5
566,GATS.23,6
567,GATS.24,10
568,GATS.25,5
569,GATS.26,6
570,GATS.27,2
571,GATS.28,2
572,GATS.29,5
573,GATS.30,7
574,GATS.31,5
575,GATS.32,1
576,GATS.33,4
577,GATS.34,3
578,GATS.35,3
579,GATS.36,0
580,GATS.37,1
581,GATS.38,2
582,GATS.39,15
583,GATS.40,0
584,GATS.41,1
585,GATS.42,0
586,GATS.43,0
587,GATS.44,5
588,GATS.45,5
589,GATS.46,0
590,GATS.47,1
591,GATS.48,1
592,GATS.49,2
593,GATS.50,3
594,GATS.51,1
595,GATS.52,2
596,GATS.53,1
597,GATS.54,4
598,GATS.55,2
599,GATS.56,1
600,GATS.57,2
601,GATS.58,6
602,GATS.59,3
603,GATS.60,1
604,GATS.61,5
605,GATS.62,3
606,GATS.63,1
607,GATS.64,1
608,GATS.65,0
609,GATS.66,3
610,GATS.67,5
611,GATS.68,3
612,GATS.69,2
613,GATS.70,12
614,GATS.71,3
615,GATS.72,2
616,GATS.73,1
617,GATS.74,4
618,GATS.75,2
619,GATS.76,4
620,GATS.77,2
621,GATS.78,6
622,GATS.79,2
623,GATS.80,1
624,GATS.81,5
625,GATS.82,1
626,GATS.83,2
627,GATS.84,0
628,GATS.85,2
629,GATS.86,4
630,GATS.87,10
631,GATS.88,5
632,GATS.89,5
633,GATS.90,1
634,GATS.91,5
635,GATS.92,1
636,GATS.93,4
637,GATS.94,3
638,GATS.95,5
639,BCUT,2
640,BCUT.1,28
641,BCUT.2,0
642,BCUT.3,10
643,BCUT.4,7
644,BCUT.5,15
645,BCUT.6,0
646,BCUT.7,31
647,BCUT.8,3
648,BCUT.9,8
649,BCUT.10,1
650,BCUT.11,5
651,BCUT.12,4
652,BCUT.13,9
653,BCUT.14,2
654,BCUT.15,5
655,BCUT.16,1
656,BCUT.17,5
657,BCUT.18,0
658,BCUT.19,7
659,BCUT.20,2
660,BCUT.21,3
661,BCUT.22,4
662,BCUT.23,0
663,BalabanJ,2
664,BaryszMatrix,0
665,BaryszMatrix.1,0
666,BaryszMatrix.2,1
667,BaryszMatrix.3,0
668,BaryszMatrix.4,1
669,BaryszMatrix.5,0
670,BaryszMatrix.6,0
671,BaryszMatrix.7,0
672,BaryszMatrix.8,0
673,BaryszMatrix.9,0
674,BaryszMatrix.10,0
675,BaryszMatrix.11,1
676,BaryszMatrix.12,0
677,BaryszMatrix.13,0
678,BaryszMatrix.14,0
679,BaryszMatrix.15,0
680,BaryszMatrix.16,0
681,BaryszMatrix.17,0
682,BaryszMatrix.18,0
683,BaryszMatrix.19,0
684,BaryszMatrix.20,0
685,BaryszMatrix.21,0
686,BaryszMatrix.22,0
687,BaryszMatrix.23,0
688,BaryszMatrix.24,0
689,BaryszMatrix.25,0
690,BaryszMatrix.26,0
691,BaryszMatrix.27,0
692,BaryszMatrix.28,1
693,BaryszMatrix.29,0
694,BaryszMatrix.30,1
695,BaryszMatrix.31,0
696,BaryszMatrix.32,0
697,BaryszMatrix.33,0
698,BaryszMatrix.34,0
699,BaryszMatrix.35,0
700,BaryszMatrix.36,0
701,BaryszMatrix.37,0
702,BaryszMatrix.38,0
703,BaryszMatrix.39,0
704,BaryszMatrix.40,0
705,BaryszMatrix.41,0
706,BaryszMatrix.42,0
707,BaryszMatrix.43,0
708,BaryszMatrix.44,0
709,BaryszMatrix.45,0
710,BaryszMatrix.46,0
711,BaryszMatrix.47,0
712,BaryszMatrix.48,0
713,BaryszMatrix.49,0
714,BaryszMatrix.50,0
715,BaryszMatrix.51,0
716,BaryszMatrix.52,0
717,BaryszMatrix.53,0
718,BaryszMatrix.54,0
719,BaryszMatrix.55,0
720,BaryszMatrix.56,0
721,BaryszMatrix.57,0
722,BaryszMatrix.58,0
723,BaryszMatrix.59,0
724,BaryszMatrix.60,0
725,BaryszMatrix.61,0
726,BaryszMatrix.62,0
727,BaryszMatrix.63,0
728,BaryszMatrix.64,0
729,BaryszMatrix.65,0
730,BaryszMatrix.66,0
731,BaryszMatrix.67,0
732,BaryszMatrix.68,0
733,BaryszMatrix.69,0
734,BaryszMatrix.70,0
735,BaryszMatrix.71,0
736,BaryszMatrix.72,0
737,BaryszMatrix.73,0
738,BaryszMatrix.74,0
739,BaryszMatrix.75,0
740,BaryszMatrix.76,0
741,BaryszMatrix.77,0
742,BaryszMatrix.78,0
743,BaryszMatrix.79,0
744,BaryszMatrix.80,1
745,BaryszMatrix.81,0
746,BaryszMatrix.82,0
747,BaryszMatrix.83,0
748,BaryszMatrix.84,0
749,BaryszMatrix.85,0
750,BaryszMatrix.86,0
751,BaryszMatrix.87,0
752,BaryszMatrix.88,0
753,BaryszMatrix.89,0
754,BaryszMatrix.90,0
755,BaryszMatrix.91,0
756,BaryszMatrix.92,0
757,BaryszMatrix.93,1
758,BaryszMatrix.94,0
759,BaryszMatrix.95,1
