,Feature,Importance
227,Morgan_fp_227,2
228,Morgan_fp_228,0
229,Morgan_fp_229,0
230,Morgan_fp_230,0
231,Morgan_fp_231,3
232,Morgan_fp_232,4
233,Morgan_fp_233,0
234,Morgan_fp_234,0
235,Morgan_fp_235,0
236,Morgan_fp_236,0
237,Morgan_fp_237,0
238,Morgan_fp_238,0
239,Morgan_fp_239,0
240,Morgan_fp_240,0
241,Morgan_fp_241,1
242,Morgan_fp_242,0
243,Morgan_fp_243,0
244,Morgan_fp_244,0
245,Morgan_fp_245,1
246,Morgan_fp_246,1
247,Morgan_fp_247,0
248,Morgan_fp_248,0
249,Morgan_fp_249,0
250,Morgan_fp_250,4
251,Morgan_fp_251,0
252,Morgan_fp_252,0
253,Morgan_fp_253,4
254,Morgan_fp_254,0
255,Morgan_fp_255,0
256,Morgan_fp_256,0
257,Morgan_fp_257,0
258,Morgan_fp_258,0
259,Morgan_fp_259,0
260,Morgan_fp_260,0
261,Morgan_fp_261,0
262,Morgan_fp_262,0
263,Morgan_fp_263,0
264,Morgan_fp_264,0
265,Morgan_fp_265,0
266,Morgan_fp_266,0
267,Morgan_fp_267,0
268,Morgan_fp_268,0
269,Morgan_fp_269,5
270,Morgan_fp_270,0
271,Morgan_fp_271,0
272,Morgan_fp_272,0
273,Morgan_fp_273,0
274,Morgan_fp_274,0
275,Morgan_fp_275,0
276,Morgan_fp_276,0
277,Morgan_fp_277,0
278,Morgan_fp_278,0
279,Morgan_fp_279,0
280,Morgan_fp_280,0
281,Morgan_fp_281,0
282,Morgan_fp_282,0
283,Morgan_fp_283,0
284,Morgan_fp_284,0
285,Morgan_fp_285,0
286,Morgan_fp_286,0
287,Morgan_fp_287,0
288,Morgan_fp_288,0
289,Morgan_fp_289,0
290,Morgan_fp_290,0
291,Morgan_fp_291,0
292,Morgan_fp_292,0
293,Morgan_fp_293,0
294,Morgan_fp_294,0
295,Morgan_fp_295,0
296,Morgan_fp_296,0
297,Morgan_fp_297,0
298,Morgan_fp_298,2
299,Morgan_fp_299,0
300,Morgan_fp_300,0
301,Morgan_fp_301,0
302,Morgan_fp_302,0
303,Morgan_fp_303,0
304,Morgan_fp_304,0
305,Morgan_fp_305,0
306,Morgan_fp_306,0
307,Morgan_fp_307,0
308,Morgan_fp_308,0
309,Morgan_fp_309,0
310,Morgan_fp_310,4
311,Morgan_fp_311,0
312,Morgan_fp_312,0
313,Morgan_fp_313,0
314,Morgan_fp_314,0
315,Morgan_fp_315,0
316,Morgan_fp_316,0
317,Morgan_fp_317,0
318,Morgan_fp_318,0
319,Morgan_fp_319,0
320,Morgan_fp_320,0
321,Morgan_fp_321,0
322,Morgan_fp_322,4
323,Morgan_fp_323,0
324,Morgan_fp_324,0
325,Morgan_fp_325,0
326,Morgan_fp_326,0
327,Morgan_fp_327,0
328,Morgan_fp_328,0
329,Morgan_fp_329,0
330,Morgan_fp_330,0
331,Morgan_fp_331,0
332,Morgan_fp_332,0
333,Morgan_fp_333,0
334,Morgan_fp_334,0
335,Morgan_fp_335,0
336,Morgan_fp_336,0
337,Morgan_fp_337,0
338,Morgan_fp_338,0
339,Morgan_fp_339,0
340,Morgan_fp_340,9
341,Morgan_fp_341,0
342,Morgan_fp_342,0
343,Morgan_fp_343,0
344,Morgan_fp_344,0
345,Morgan_fp_345,0
346,Morgan_fp_346,0
347,Morgan_fp_347,0
348,Morgan_fp_348,0
349,Morgan_fp_349,0
350,Morgan_fp_350,0
351,Morgan_fp_351,0
352,Morgan_fp_352,0
353,Morgan_fp_353,0
354,Morgan_fp_354,0
355,Morgan_fp_355,6
356,Morgan_fp_356,0
357,Morgan_fp_357,0
358,Morgan_fp_358,0
359,Morgan_fp_359,0
360,Morgan_fp_360,0
361,Morgan_fp_361,0
362,Morgan_fp_362,3
363,Morgan_fp_363,0
364,Morgan_fp_364,0
365,Morgan_fp_365,0
366,Morgan_fp_366,0
367,Morgan_fp_367,0
368,Morgan_fp_368,0
369,Morgan_fp_369,1
370,Morgan_fp_370,1
371,Morgan_fp_371,0
372,Morgan_fp_372,0
373,Morgan_fp_373,0
374,Morgan_fp_374,1
375,Morgan_fp_375,0
376,Morgan_fp_376,0
377,Morgan_fp_377,0
378,Morgan_fp_378,0
379,Morgan_fp_379,0
380,Morgan_fp_380,0
381,Morgan_fp_381,0
382,Morgan_fp_382,0
383,Morgan_fp_383,0
384,Morgan_fp_384,1
385,Morgan_fp_385,0
386,Morgan_fp_386,0
387,Morgan_fp_387,0
388,Morgan_fp_388,0
389,Morgan_fp_389,0
390,Morgan_fp_390,0
391,Morgan_fp_391,0
392,Morgan_fp_392,0
393,Morgan_fp_393,0
394,Morgan_fp_394,0
395,Morgan_fp_395,0
396,Morgan_fp_396,0
397,Morgan_fp_397,0
398,Morgan_fp_398,0
399,Morgan_fp_399,0
400,Morgan_fp_400,0
401,Morgan_fp_401,0
402,Morgan_fp_402,0
403,Morgan_fp_403,0
404,Morgan_fp_404,0
405,Morgan_fp_405,0
406,Morgan_fp_406,0
407,Morgan_fp_407,0
408,Morgan_fp_408,0
409,Morgan_fp_409,0
410,Morgan_fp_410,0
411,Morgan_fp_411,0
412,Morgan_fp_412,0
413,Morgan_fp_413,0
414,Morgan_fp_414,0
415,Morgan_fp_415,0
416,Morgan_fp_416,0
417,Morgan_fp_417,0
418,Morgan_fp_418,0
419,Morgan_fp_419,0
420,Morgan_fp_420,0
421,Morgan_fp_421,0
422,Morgan_fp_422,0
423,Morgan_fp_423,0
424,Morgan_fp_424,0
425,Morgan_fp_425,0
426,Morgan_fp_426,0
427,Morgan_fp_427,0
428,Morgan_fp_428,2
429,Morgan_fp_429,0
430,Morgan_fp_430,2
431,Morgan_fp_431,0
432,Morgan_fp_432,0
433,Morgan_fp_433,0
434,Morgan_fp_434,0
435,Morgan_fp_435,5
436,Morgan_fp_436,0
437,Morgan_fp_437,1
438,Morgan_fp_438,0
439,Morgan_fp_439,0
440,Morgan_fp_440,0
441,Morgan_fp_441,0
442,Morgan_fp_442,0
443,Morgan_fp_443,0
444,Morgan_fp_444,0
445,Morgan_fp_445,0
446,Morgan_fp_446,0
447,Morgan_fp_447,0
448,Morgan_fp_448,0
449,Morgan_fp_449,0
450,Morgan_fp_450,0
451,Morgan_fp_451,0
452,Morgan_fp_452,0
453,Morgan_fp_453,0
454,Morgan_fp_454,0
455,Morgan_fp_455,0
456,Morgan_fp_456,0
457,Morgan_fp_457,1
458,Morgan_fp_458,0
459,Morgan_fp_459,0
460,Morgan_fp_460,0
461,Morgan_fp_461,0
462,Morgan_fp_462,0
463,Morgan_fp_463,0
464,Morgan_fp_464,1
465,Morgan_fp_465,0
466,Morgan_fp_466,0
467,Morgan_fp_467,0
468,Morgan_fp_468,0
469,Morgan_fp_469,0
470,Morgan_fp_470,0
471,Morgan_fp_471,0
472,Morgan_fp_472,0
473,Morgan_fp_473,0
474,Morgan_fp_474,0
475,Morgan_fp_475,0
476,Morgan_fp_476,6
477,Morgan_fp_477,0
478,Morgan_fp_478,0
479,Morgan_fp_479,0
480,Morgan_fp_480,1
481,Morgan_fp_481,0
482,Morgan_fp_482,0
483,Morgan_fp_483,0
484,Morgan_fp_484,0
485,Morgan_fp_485,0
486,Morgan_fp_486,0
487,Morgan_fp_487,0
488,Morgan_fp_488,0
489,Morgan_fp_489,0
490,Morgan_fp_490,0
491,Morgan_fp_491,0
492,Morgan_fp_492,0
493,Morgan_fp_493,0
494,Morgan_fp_494,0
495,Morgan_fp_495,0
496,Morgan_fp_496,0
497,Morgan_fp_497,0
498,Morgan_fp_498,0
499,Morgan_fp_499,0
500,Morgan_fp_500,0
501,Morgan_fp_501,0
502,Morgan_fp_502,0
503,Morgan_fp_503,0
504,Morgan_fp_504,0
505,Morgan_fp_505,0
506,Morgan_fp_506,0
507,Morgan_fp_507,0
508,Morgan_fp_508,0
509,Morgan_fp_509,0
510,Morgan_fp_510,0
511,Morgan_fp_511,0
512,Morgan_fp_512,0
513,Morgan_fp_513,0
514,Morgan_fp_514,0
515,Morgan_fp_515,0
516,Morgan_fp_516,0
517,Morgan_fp_517,0
518,Morgan_fp_518,0
519,Morgan_fp_519,0
520,Morgan_fp_520,0
521,Morgan_fp_521,0
522,Morgan_fp_522,0
523,Morgan_fp_523,2
524,Morgan_fp_524,0
525,Morgan_fp_525,0
526,Morgan_fp_526,0
527,Morgan_fp_527,0
528,Morgan_fp_528,0
529,Morgan_fp_529,0
530,Morgan_fp_530,1
531,Morgan_fp_531,0
532,Morgan_fp_532,0
533,Morgan_fp_533,0
534,Morgan_fp_534,0
535,Morgan_fp_535,0
536,Morgan_fp_536,0
537,Morgan_fp_537,0
538,Morgan_fp_538,0
539,Morgan_fp_539,0
540,Morgan_fp_540,0
541,Morgan_fp_541,0
542,Morgan_fp_542,0
543,Morgan_fp_543,0
544,Morgan_fp_544,0
545,Morgan_fp_545,0
546,Morgan_fp_546,0
547,Morgan_fp_547,0
548,Morgan_fp_548,0
549,Morgan_fp_549,0
550,Morgan_fp_550,0
551,Morgan_fp_551,0
552,Morgan_fp_552,2
553,Morgan_fp_553,0
554,Morgan_fp_554,0
555,Morgan_fp_555,0
556,Morgan_fp_556,0
557,Morgan_fp_557,0
558,Morgan_fp_558,0
559,Morgan_fp_559,0
560,Morgan_fp_560,0
561,Morgan_fp_561,0
562,Morgan_fp_562,1
563,Morgan_fp_563,0
564,Morgan_fp_564,0
565,Morgan_fp_565,0
566,Morgan_fp_566,0
567,Morgan_fp_567,0
568,Morgan_fp_568,0
569,Morgan_fp_569,0
570,Morgan_fp_570,0
571,Morgan_fp_571,0
572,Morgan_fp_572,0
573,Morgan_fp_573,0
574,Morgan_fp_574,5
575,Morgan_fp_575,0
576,Morgan_fp_576,0
577,Morgan_fp_577,0
578,Morgan_fp_578,0
579,Morgan_fp_579,0
580,Morgan_fp_580,0
581,Morgan_fp_581,0
582,Morgan_fp_582,0
583,Morgan_fp_583,0
584,Morgan_fp_584,0
585,Morgan_fp_585,0
586,Morgan_fp_586,0
587,Morgan_fp_587,0
588,Morgan_fp_588,0
589,Morgan_fp_589,0
590,Morgan_fp_590,0
591,Morgan_fp_591,1
592,Morgan_fp_592,0
593,Morgan_fp_593,0
594,Morgan_fp_594,0
595,Morgan_fp_595,0
596,Morgan_fp_596,0
597,Morgan_fp_597,0
598,Morgan_fp_598,0
599,Morgan_fp_599,0
600,Morgan_fp_600,0
601,Morgan_fp_601,0
602,Morgan_fp_602,0
603,Morgan_fp_603,0
604,Morgan_fp_604,0
605,Morgan_fp_605,0
606,Morgan_fp_606,0
607,Morgan_fp_607,0
608,Morgan_fp_608,0
609,Morgan_fp_609,0
610,Morgan_fp_610,0
611,Morgan_fp_611,0
612,Morgan_fp_612,0
613,Morgan_fp_613,0
614,Morgan_fp_614,0
615,Morgan_fp_615,0
616,Morgan_fp_616,0
617,Morgan_fp_617,0
618,Morgan_fp_618,0
619,Morgan_fp_619,1
620,Morgan_fp_620,0
621,Morgan_fp_621,0
622,Morgan_fp_622,0
623,Morgan_fp_623,0
624,Morgan_fp_624,0
625,Morgan_fp_625,0
626,Morgan_fp_626,0
627,Morgan_fp_627,0
628,Morgan_fp_628,0
629,Morgan_fp_629,0
630,Morgan_fp_630,0
631,Morgan_fp_631,0
632,Morgan_fp_632,0
633,Morgan_fp_633,0
634,Morgan_fp_634,0
635,Morgan_fp_635,0
636,Morgan_fp_636,0
637,Morgan_fp_637,0
638,Morgan_fp_638,0
639,Morgan_fp_639,0
640,Morgan_fp_640,0
641,Morgan_fp_641,0
642,Morgan_fp_642,0
643,Morgan_fp_643,0
644,Morgan_fp_644,0
645,Morgan_fp_645,0
646,Morgan_fp_646,0
647,Morgan_fp_647,0
648,Morgan_fp_648,0
649,Morgan_fp_649,0
650,Morgan_fp_650,0
651,Morgan_fp_651,0
652,Morgan_fp_652,0
