,Feature,Importance
236,RDF90e,0.0
237,RDF95e,0.0
238,RDF100e,0.0
239,RDF105e,0.0
240,RDF110e,0.0
241,RDF115e,0.0
242,RDF120e,0.0
243,RDF125e,0.0
244,RDF130e,0.0
245,RDF135e,0.0
246,RDF140e,0.0
247,RDF145e,0.0
248,RDF150e,0.0
249,RDF155e,0.0
250,RDF10p,0.0
251,RDF15p,0.0
252,RDF20p,0.0
253,RDF25p,0.0
254,RDF30p,0.0
255,RDF35p,0.0
256,RDF40p,0.0
257,RDF45p,0.0
258,RDF50p,0.0
259,RDF55p,0.0
260,RDF60p,0.0
261,RDF65p,0.0
262,RDF70p,0.0
263,RDF75p,0.0
264,RDF80p,1.128609e-07
265,RDF85p,0.0
266,RDF90p,0.04124159
267,RDF95p,0.0
268,RDF100p,0.0
269,RDF105p,0.0
270,RDF110p,0.0
271,RDF115p,0.0
272,RDF120p,0.0
273,RDF125p,0.0
274,RDF130p,0.0
275,RDF135p,0.0
276,RDF140p,0.0
277,RDF145p,0.0
278,RDF150p,0.0
279,RDF155p,0.0
280,RDF10i,0.0
281,RDF15i,0.0
282,RDF20i,0.0
283,RDF25i,0.0
284,RDF30i,0.0
285,RDF35i,0.0
286,RDF40i,0.0
287,RDF45i,0.0
288,RDF50i,0.0
289,RDF55i,0.0
290,RDF60i,0.0
291,RDF65i,0.0
292,RDF70i,0.0
293,RDF75i,0.0
294,RDF80i,0.0
295,RDF85i,0.0
296,RDF90i,0.0
297,RDF95i,0.0
298,RDF100i,0.0
299,RDF105i,0.0
300,RDF110i,0.0
301,RDF115i,0.0
302,RDF120i,0.0
303,RDF125i,0.0
304,RDF130i,0.0
305,RDF135i,0.0
306,RDF140i,0.0
307,RDF145i,0.0
308,RDF150i,0.0
309,RDF155i,0.0
310,RDF10s,0.0
311,RDF15s,0.0
312,RDF20s,0.0
313,RDF25s,1.6871796e-05
314,RDF30s,0.06649047
315,RDF35s,4.074496e-05
316,RDF40s,1.0900595e-05
317,RDF45s,2.3171987e-07
318,RDF50s,5.5497927e-05
319,RDF55s,0.0
320,RDF60s,0.00041301214
321,RDF65s,0.0
322,RDF70s,0.0011901273
323,RDF75s,0.0
324,RDF80s,0.0
325,RDF85s,0.00024952015
326,RDF90s,5.5399013e-08
327,RDF95s,4.7200106e-07
328,RDF100s,0.0
329,RDF105s,0.0
330,RDF110s,0.0
331,RDF115s,4.5418143e-05
332,RDF120s,0.0
333,RDF125s,1.734031e-07
334,RDF130s,0.00075669156
335,RDF135s,0.0
336,RDF140s,0.0
337,RDF145s,0.0020879733
338,RDF150s,0.0
339,RDF155s,0.0
340,L1u,0.0
341,L2u,0.0
342,L3u,3.13221e-06
343,P1u,0.0
344,P2u,0.0
345,E1u,0.0001385014
346,E2u,4.8010713e-07
347,E3u,0.0
348,Tu,0.0
349,Au,0.0
350,Vu,0.0
351,Ku,0.0
352,Du,9.605745e-05
353,L1m,0.011405579
354,L2m,0.0
355,L3m,0.0
356,P1m,0.0
357,P2m,0.0
358,E1m,0.0
359,E2m,0.0
360,E3m,1.5947105e-06
361,Tm,0.0
362,Am,0.0
363,Vm,0.0
364,Km,1.7063208e-05
365,Dm,0.0
366,L1v,0.0
367,L2v,0.0
368,L3v,0.0
369,P1v,0.0
370,P2v,0.0
371,E1v,0.0
372,E2v,3.1132033e-05
373,E3v,0.0
374,Tv,0.0
375,Av,0.0
376,Vv,0.0
377,Kv,0.0
378,Dv,0.0
379,L1e,0.0
380,L2e,0.0
381,L3e,0.0
382,P1e,0.0
383,P2e,0.0
384,E1e,0.0
385,E2e,0.0
386,E3e,0.068050526
387,Te,0.0
388,Ae,0.0
389,Ve,0.0
390,Ke,0.0
391,De,0.0
392,L1p,0.0
393,L2p,0.0
394,L3p,0.0
395,P1p,0.0
396,P2p,0.0
397,E1p,2.034554e-06
398,E2p,0.0
399,E3p,2.8915117e-06
400,Tp,0.0
401,Ap,0.0
402,Vp,0.0
403,Kp,0.0
404,Dp,0.0
405,L1i,0.0
406,L2i,0.0
407,L3i,0.0
408,P1i,0.0
409,P2i,0.0
410,E1i,0.0
411,E2i,0.0
412,E3i,0.0
413,Ti,0.0
414,Ai,0.0
415,Vi,0.0
416,Ki,0.0
417,Di,0.0
418,L1s,0.0
419,L2s,0.0
420,L3s,0.0
421,P1s,0.0
422,P2s,0.0
423,E1s,0.0
424,E2s,0.0
425,E3s,5.0674902e-08
426,Ts,0.0
427,As,0.0
428,Vs,0.0
429,Ks,0.0
430,Ds,1.0770941e-07
